"","Model","Category","HR","lower_conf","upper_conf","CI","P","P for trend"
"1","Model 1","expo_lmr_cat",0.921,0.862,0.984,"0.862, 0.984",0.015191775075421,"0.015191775075421"
"2","Model 1","age",0.961,0.955,0.967,"0.955, 0.967",8.32427881845737e-37,"NA"
"3","Model 2","expo_lmr_cat",0.912,0.82,1.014,"0.82, 1.014",0.089745829698486,"0.089745829698486"
"4","Model 2","age",0.97,0.96,0.98,"0.96, 0.98",1.08959172356064e-08,"NA"
"5","Model 1","expo_sii_cat",0.651,0.611,0.694,"0.611, 0.694",1.87771926266118e-39,"1.87771926266118e-39"
"6","Model 1","age",0.962,0.956,0.968,"0.956, 0.968",2.54740530954413e-35,"NA"
"7","Model 2","expo_sii_cat",0.609,0.549,0.675,"0.549, 0.675",2.45883233333204e-21,"2.45883233333204e-21"
"8","Model 2","age",0.971,0.961,0.981,"0.961, 0.981",4.49281946384815e-08,"NA"
"9","Model 1","expo_npar_cat",0.897,0.841,0.956,"0.841, 0.956",0.000796678764905831,"0.000796678764905831"
"10","Model 1","age",0.963,0.957,0.969,"0.957, 0.969",3.14362495950735e-34,"NA"
"11","Model 2","expo_npar_cat",0.872,0.786,0.968,"0.786, 0.968",0.0100818448499627,"0.0100818448499627"
"12","Model 2","age",0.972,0.962,0.982,"0.962, 0.982",8.15985827676189e-08,"NA"
"13","Model 1","expo_nps_cat",0.778,0.676,0.895,"0.676, 0.895",0.000437119501940921,"0.000437119501940921"
"14","Model 1","age",0.962,0.957,0.968,"0.957, 0.968",4.29816007040594e-35,"NA"
"15","Model 2","expo_nps_cat",0.726,0.579,0.911,"0.579, 0.911",0.00575470940257095,"0.00575470940257095"
"16","Model 2","age",0.971,0.961,0.981,"0.961, 0.981",4.7602111581969e-08,"NA"
